sample,region
smp_SRS014566,mouth
smp_SRS014568,mouth
smp_SRS014570,mouth
smp_SRS014572,stool
smp_SRS014593,mouth
smp_SRS014595,mouth
smp_SRS014597,mouth
smp_SRS014599,mouth
smp_SRS014601,mouth
smp_SRS014603,mouth
smp_SRS014605,mouth
smp_SRS014607,mouth
smp_SRS014609,mouth
smp_SRS014613,stool
smp_SRS014615,ear
smp_SRS014617,ear
smp_SRS014619,arm
smp_SRS014621,arm
smp_SRS014623,nose
smp_SRS014625,vagina
smp_SRS014627,vagina
smp_SRS014629,vagina
smp_SRS014651,mouth
smp_SRS014653,mouth
smp_SRS014655,mouth
smp_SRS014657,mouth
smp_SRS014659,stool
smp_SRS014661,mouth
smp_SRS014663,mouth
smp_SRS014665,ear
smp_SRS014667,ear
smp_SRS014675,mouth
smp_SRS014677,mouth
smp_SRS014746,mouth
smp_SRS014750,mouth
smp_SRS014752,mouth
smp_SRS014756,mouth
smp_SRS014758,mouth
smp_SRS014760,mouth
smp_SRS014762,mouth
smp_SRS014764,mouth
smp_SRS014768,ear
smp_SRS014770,ear
smp_SRS014772,arm
smp_SRS014774,arm
smp_SRS014778,vagina
smp_SRS014780,vagina
smp_SRS014782,vagina
smp_SRS014803,mouth
smp_SRS014807,mouth
smp_SRS014809,mouth
smp_SRS014811,mouth
smp_SRS014813,mouth
smp_SRS014815,mouth
smp_SRS014817,mouth
smp_SRS014819,mouth
smp_SRS014821,mouth
smp_SRS014823,stool
smp_SRS014825,ear
smp_SRS014827,ear
smp_SRS014829,arm
smp_SRS014831,arm
smp_SRS014833,nose
smp_SRS014835,vagina
smp_SRS014837,vagina
smp_SRS014839,vagina
smp_SRS014857,mouth
smp_SRS014861,mouth
smp_SRS014863,mouth
smp_SRS014865,mouth
smp_SRS014867,mouth
smp_SRS014869,mouth
smp_SRS014871,mouth
smp_SRS014873,mouth
smp_SRS014875,mouth
smp_SRS014877,ear
smp_SRS014879,ear
smp_SRS014881,arm
smp_SRS014883,arm
smp_SRS014885,stool
smp_SRS014903,mouth
smp_SRS014907,mouth
smp_SRS014911,mouth
smp_SRS014913,mouth
smp_SRS014915,mouth
smp_SRS014917,mouth
smp_SRS014919,mouth
smp_SRS014921,mouth
smp_SRS014923,stool
smp_SRS014925,ear
smp_SRS014927,ear
smp_SRS014929,arm
smp_SRS014933,nose
smp_SRS014950,mouth
smp_SRS014954,mouth
smp_SRS014956,mouth
smp_SRS014958,mouth
smp_SRS014960,mouth
smp_SRS014962,mouth
smp_SRS014964,mouth
smp_SRS014966,mouth
smp_SRS014968,ear
smp_SRS014970,ear
smp_SRS014972,arm
smp_SRS014974,arm
smp_SRS014976,nose
smp_SRS014978,stool
smp_SRS014999,stool
smp_SRS015001,ear
smp_SRS015003,ear
smp_SRS015005,arm
smp_SRS015007,arm
smp_SRS015009,nose
smp_SRS015011,vagina
smp_SRS015013,vagina
smp_SRS015015,vagina
smp_SRS015017,mouth
smp_SRS015021,mouth
smp_SRS015023,mouth
smp_SRS015025,mouth
smp_SRS015027,mouth
smp_SRS015029,mouth
smp_SRS015031,mouth
smp_SRS015033,mouth
smp_SRS015035,mouth
smp_SRS015113,mouth
smp_SRS015117,mouth
smp_SRS015119,mouth
smp_SRS015121,mouth
smp_SRS015123,mouth
smp_SRS015125,mouth
smp_SRS015127,mouth
smp_SRS015129,mouth
smp_SRS015131,mouth
smp_SRS015133,stool
smp_SRS015135,ear
smp_SRS015137,ear
smp_SRS015139,arm
smp_SRS015141,arm
smp_SRS015145,vagina
smp_SRS015147,vagina
smp_SRS015149,vagina
smp_SRS015170,mouth
smp_SRS015174,mouth
smp_SRS015176,mouth
smp_SRS015178,mouth
smp_SRS015180,mouth
smp_SRS015182,mouth
smp_SRS015184,mouth
smp_SRS015186,mouth
smp_SRS015188,mouth
smp_SRS015190,stool
smp_SRS015192,ear
smp_SRS015194,ear
smp_SRS015196,arm
smp_SRS015198,arm
smp_SRS015200,nose
smp_SRS015202,vagina
smp_SRS015204,vagina
smp_SRS015206,vagina
smp_SRS015227,mouth
smp_SRS015231,mouth
smp_SRS015233,mouth
smp_SRS015235,mouth
smp_SRS015237,mouth
smp_SRS015239,mouth
smp_SRS015241,mouth
smp_SRS015243,mouth
smp_SRS015245,mouth
smp_SRS015247,stool
smp_SRS015249,ear
smp_SRS015251,ear
smp_SRS015253,arm
smp_SRS015255,arm
smp_SRS015257,nose
smp_SRS015259,vagina
smp_SRS015261,vagina
smp_SRS015263,vagina
smp_SRS015281,stool
smp_SRS015283,ear
smp_SRS015285,ear
smp_SRS015287,arm
smp_SRS015289,arm
smp_SRS015291,nose
smp_SRS015293,mouth
smp_SRS015297,mouth
smp_SRS015299,mouth
smp_SRS015301,mouth
smp_SRS015303,mouth
smp_SRS015305,mouth
smp_SRS015307,mouth
smp_SRS015309,mouth
smp_SRS015311,mouth
smp_SRS015332,stool
smp_SRS015334,ear
smp_SRS015336,ear
smp_SRS015338,arm
smp_SRS015340,arm
smp_SRS015342,nose
smp_SRS015344,vagina
smp_SRS015346,vagina
smp_SRS015348,vagina
smp_SRS015350,mouth
smp_SRS015354,mouth
smp_SRS015356,mouth
smp_SRS015358,mouth
smp_SRS015360,mouth
smp_SRS015362,mouth
smp_SRS015364,mouth
smp_SRS015366,mouth
smp_SRS015368,mouth
smp_SRS015389,stool
smp_SRS015395,mouth
smp_SRS015397,mouth
smp_SRS015399,mouth
smp_SRS015401,mouth
smp_SRS015403,mouth
smp_SRS015405,mouth
smp_SRS015407,mouth
smp_SRS015409,mouth
smp_SRS015421,vagina
smp_SRS015423,vagina
smp_SRS015425,vagina
smp_SRS015442,ear
smp_SRS015444,ear
smp_SRS015446,arm
smp_SRS015448,arm
smp_SRS015450,nose
smp_SRS015452,stool
smp_SRS015454,mouth
smp_SRS015460,mouth
smp_SRS015462,mouth
smp_SRS015464,mouth
smp_SRS015466,mouth
smp_SRS015468,mouth
smp_SRS015470,mouth
smp_SRS015472,mouth
smp_SRS015494,ear
smp_SRS015496,ear
smp_SRS015500,arm
smp_SRS015504,vagina
smp_SRS015506,vagina
smp_SRS015508,vagina
smp_SRS015510,mouth
smp_SRS015514,mouth
smp_SRS015516,mouth
smp_SRS015518,stool
smp_SRS015520,mouth
smp_SRS015522,mouth
smp_SRS015524,mouth
smp_SRS015526,mouth
smp_SRS015528,mouth
smp_SRS015530,mouth
smp_SRS015556,mouth
smp_SRS015560,mouth
smp_SRS015564,mouth
smp_SRS015566,mouth
smp_SRS015568,mouth
smp_SRS015570,mouth
smp_SRS015572,mouth
smp_SRS015574,mouth
smp_SRS015576,mouth
smp_SRS015578,stool
smp_SRS015599,stool
smp_SRS015601,ear
smp_SRS015603,ear
smp_SRS015605,arm
smp_SRS015607,arm
smp_SRS015609,nose
smp_SRS015611,vagina
smp_SRS015613,vagina
smp_SRS015615,vagina
smp_SRS015621,mouth
smp_SRS015623,mouth
smp_SRS015625,mouth
smp_SRS015627,mouth
smp_SRS015629,mouth
smp_SRS015631,mouth
smp_SRS015633,mouth
smp_SRS015635,mouth
smp_SRS015653,ear
smp_SRS015655,ear
smp_SRS015657,arm
smp_SRS015659,arm
smp_SRS015661,nose
smp_SRS015663,stool
smp_SRS015665,mouth
smp_SRS015669,mouth
smp_SRS015671,mouth
smp_SRS015673,mouth
smp_SRS015675,mouth
smp_SRS015677,mouth
smp_SRS015679,mouth
smp_SRS015681,mouth
smp_SRS015683,mouth
smp_SRS015704,mouth
smp_SRS015708,mouth
smp_SRS015710,mouth
smp_SRS015712,mouth
smp_SRS015714,mouth
smp_SRS015716,mouth
smp_SRS015718,mouth
smp_SRS015720,mouth
smp_SRS015722,mouth
smp_SRS015724,stool
smp_SRS015736,vagina
smp_SRS015738,vagina
smp_SRS015740,vagina
smp_SRS015758,mouth
smp_SRS015762,mouth
smp_SRS015764,mouth
smp_SRS015766,mouth
smp_SRS015768,mouth
smp_SRS015772,mouth
smp_SRS015774,ear
smp_SRS015776,arm
smp_SRS015778,arm
smp_SRS015780,nose
smp_SRS015782,stool
smp_SRS015784,mouth
smp_SRS015786,mouth
smp_SRS015788,mouth
smp_SRS015805,ear
smp_SRS015807,ear
smp_SRS015813,nose
smp_SRS015815,stool
smp_SRS015817,mouth
smp_SRS015821,mouth
smp_SRS015823,mouth
smp_SRS015825,mouth
smp_SRS015827,mouth
smp_SRS015829,mouth
smp_SRS015831,mouth
smp_SRS015833,mouth
smp_SRS015835,mouth
smp_SRS015854,stool
smp_SRS015856,ear
smp_SRS015858,ear
smp_SRS015860,arm
smp_SRS015862,arm
smp_SRS015864,nose
smp_SRS015866,mouth
smp_SRS015870,mouth
smp_SRS015872,mouth
smp_SRS015874,mouth
smp_SRS015876,mouth
smp_SRS015878,mouth
smp_SRS015880,mouth
smp_SRS015882,mouth
smp_SRS015884,mouth
smp_SRS015903,ear
smp_SRS015905,arm
smp_SRS015907,arm
smp_SRS015909,nose
smp_SRS015911,stool
smp_SRS015913,mouth
smp_SRS015917,mouth
smp_SRS015919,mouth
smp_SRS015921,mouth
smp_SRS015923,mouth
smp_SRS015927,mouth
smp_SRS015929,mouth
smp_SRS015931,mouth
smp_SRS015950,ear
smp_SRS015952,ear
smp_SRS015954,arm
smp_SRS015956,arm
smp_SRS015958,nose
smp_SRS015960,stool
smp_SRS015966,mouth
smp_SRS015968,mouth
smp_SRS015970,mouth
smp_SRS015972,mouth
smp_SRS015974,mouth
smp_SRS015976,mouth
smp_SRS015978,mouth
smp_SRS015980,mouth
smp_SRS015998,mouth
smp_SRS016002,mouth
smp_SRS016004,mouth
smp_SRS016006,mouth
smp_SRS016008,mouth
smp_SRS016010,mouth
smp_SRS016012,mouth
smp_SRS016014,mouth
smp_SRS016016,mouth
smp_SRS016018,stool
smp_SRS016020,ear
smp_SRS016022,ear
smp_SRS016026,arm
smp_SRS016028,nose
smp_SRS016046,ear
smp_SRS016048,ear
smp_SRS016050,arm
smp_SRS016052,arm
smp_SRS016054,nose
smp_SRS016056,stool
smp_SRS016058,mouth
smp_SRS016060,mouth
smp_SRS016062,mouth
smp_SRS016064,mouth
smp_SRS016066,mouth
smp_SRS016068,mouth
smp_SRS016070,mouth
smp_SRS016072,mouth
smp_SRS016074,mouth
smp_SRS016095,stool
smp_SRS016097,ear
smp_SRS016099,ear
smp_SRS016101,arm
smp_SRS016103,arm
smp_SRS016109,vagina
smp_SRS016111,vagina
smp_SRS016113,mouth
smp_SRS016117,mouth
smp_SRS016119,mouth
smp_SRS016121,mouth
smp_SRS016123,mouth
smp_SRS016125,mouth
smp_SRS016127,mouth
smp_SRS016129,mouth
smp_SRS016131,mouth
smp_SRS016152,stool
smp_SRS016154,mouth
smp_SRS016156,mouth
smp_SRS016158,mouth
smp_SRS016160,mouth
smp_SRS016162,mouth
smp_SRS016164,mouth
smp_SRS016166,mouth
smp_SRS016168,mouth
smp_SRS016170,mouth
smp_SRS016174,ear
smp_SRS016176,ear
smp_SRS016178,arm
smp_SRS016182,nose
smp_SRS016203,stool
smp_SRS016205,ear
smp_SRS016207,ear
smp_SRS016209,arm
smp_SRS016211,arm
smp_SRS016213,nose
smp_SRS016215,vagina
smp_SRS016217,vagina
smp_SRS016219,vagina
smp_SRS016221,mouth
smp_SRS016225,mouth
smp_SRS016227,mouth
smp_SRS016229,mouth
smp_SRS016231,mouth
smp_SRS016233,mouth
smp_SRS016235,mouth
smp_SRS016237,mouth
smp_SRS016239,mouth
smp_SRS016257,ear
smp_SRS016259,ear
smp_SRS016261,arm
smp_SRS016263,arm
smp_SRS016265,nose
smp_SRS016267,stool
smp_SRS016269,mouth
smp_SRS016271,mouth
smp_SRS016273,mouth
smp_SRS016275,mouth
smp_SRS016277,mouth
smp_SRS016279,mouth
smp_SRS016281,mouth
smp_SRS016283,mouth
smp_SRS016285,mouth
smp_SRS016305,ear
smp_SRS016307,ear
smp_SRS016309,arm
smp_SRS016311,arm
smp_SRS016313,nose
smp_SRS016315,mouth
smp_SRS016319,mouth
smp_SRS016321,mouth
smp_SRS016323,mouth
smp_SRS016325,mouth
smp_SRS016327,mouth
smp_SRS016329,mouth
smp_SRS016331,mouth
smp_SRS016333,mouth
smp_SRS016335,stool
smp_SRS016337,mouth
smp_SRS016343,mouth
smp_SRS016346,mouth
smp_SRS016349,mouth
smp_SRS016352,mouth
smp_SRS016355,mouth
smp_SRS016358,mouth
smp_SRS016361,mouth
smp_SRS016364,mouth
smp_SRS016367,ear
smp_SRS016370,ear
smp_SRS016376,arm
smp_SRS016379,nose
smp_SRS016400,stool
smp_SRS016408,mouth
smp_SRS016412,mouth
smp_SRS016414,mouth
smp_SRS016416,mouth
smp_SRS016418,mouth
smp_SRS016420,mouth
