SAMEA2657022	ERS488820	ERR562629
SAMEA2622465	ERS492334	ERR562630
SAMEA2622744	ERS492789	ERR562631
SAMEA2622804	ERS492871	ERR562632
SAMEA2611381	ERS478012	ERR562633
SAMEA2621438	ERS490943	ERR562634
SAMEA2657066	ERS492942	ERR562635
SAMEA2620847	ERS490021	ERR562636
SAMEA2657005	ERS492757	ERR562637
SAMEA2622106	ERS491845	ERR562638
SAMEA2657037	ERS488508	ERR562639
SAMEA2620023	ERS488832	ERR562640
SAMEA2620985	ERS490198	ERR562641
SAMEA2657058	ERS488682	ERR562642
SAMEA2619675	ERS488338	ERR562643
SAMEA2657008	ERS492137	ERR562644
SAMEA2656967	ERS488902	ERR562645
SAMEA2620204	ERS489053	ERR562646
SAMEA2621147	ERS490448	ERR562647
SAMEA2657082	ERS490256	ERR562648
SAMEA2657017	ERS488565	ERR562649
SAMEA2657035	ERS490922	ERR562650
SAMEA2657010	ERS492658	ERR562651
SAMEA2656957	ERS488567	ERR562652
SAMEA2622803	ERS492870	ERR562653
SAMEA2657070	ERS492669	ERR562654
SAMEA2656967	ERS488902	ERR562655
SAMEA2591116	ERS478025	ERR562656
SAMEA2621498	ERS491012	ERR562657
SAMEA2619557	ERS488156	ERR562658
SAMEA2620354	ERS489251	ERR562659
SAMEA2620959	ERS490172	ERR562660
SAMEA2619898	ERS488668	ERR562661
SAMEA2619664	ERS488317	ERR562662
SAMEA2657057	ERS492800	ERR562663
SAMEA2622717	ERS492740	ERR562664
SAMEA2619943	ERS488730	ERR562665
SAMEA2620072	ERS488886	ERR562666
SAMEA2620870	ERS490044	ERR562667
SAMEA2657110	ERS488896	ERR562668
SAMEA2656969	ERS490210	ERR562669
SAMEA2622826	ERS492897	ERR562670
SAMEA2621167	ERS490488	ERR562671
SAMEA2657063	ERS492161	ERR562672
SAMEA2620847	ERS490021	ERR562673
SAMEA2591063	ERS477937	ERR562674
SAMEA2657062	ERS488453	ERR562675
SAMEA2657077	ERS491904	ERR562676
SAMEA2622697	ERS492706	ERR562677
SAMEA2619850	ERS488609	ERR562678
SAMEA2619789	ERS488516	ERR562679
SAMEA2621280	ERS490699	ERR562680
SAMEA2657001	ERS488561	ERR562681
SAMEA2657091	ERS490564	ERR562682
SAMEA2621052	ERS490311	ERR562683
SAMEA2656989	ERS490467	ERR562684
SAMEA2657006	ERS492950	ERR562685
SAMEA2656963	ERS489263	ERR562686
SAMEA2619918	ERS488696	ERR562687
SAMEA2657052	ERS489069	ERR562688
SAMEA2622746	ERS492791	ERR562689
