S002355767	Lactobacillus jensenii
S002410301	Lactobacillus crispatus
S000002717	Enterococcus faecium
S000004741	Enterococcus durans
S000015704	Enterococcus avium
S000255342	Enterococcus avium
S000387859	Enterococcus avium
S000427506	Enterococcus faecalis
S000654179	Enterococcus faecium
S000654187	Enterococcus faecalis
S001045699	Enterococcus faecium
S001095541	Enterococcus faecalis
S001153707	Enterococcus durans
S001292633	Enterococcus avium
S001418138	Enterococcus durans
S001418742	Enterococcus faecalis
S001572689	Enterococcus durans
S001873963	Enterococcus faecalis
S002153903	Enterococcus durans
S002232433	Enterococcus faecium
S002235894	Enterococcus avium
S002409192	Enterococcus faecium
S000382661	Weissella paramesenteroides
S001155252	Weissella paramesenteroides
S001241307	Weissella paramesenteroides
S001795448	Weissella paramesenteroides
S002408710	Weissella paramesenteroides
S000010870	Staphylococcus haemolyticus
S000381988	Staphylococcus lugdunensis
S000413956	Staphylococcus aureus
S000413964	Staphylococcus epidermidis
S000414713	Staphylococcus capitis
S000414717	Staphylococcus warneri
S000434638	Staphylococcus capitis
S000438990	Staphylococcus epidermidis
S000482458	Staphylococcus lugdunensis
S000482459	Staphylococcus lugdunensis
S000615189	Staphylococcus aureus
S000727743	Staphylococcus capitis
S000727744	Staphylococcus hominis
S000926543	Staphylococcus hominis
S001095993	Staphylococcus aureus
S001096634	Staphylococcus haemolyticus
S001098782	Staphylococcus epidermidis
S001263878	Staphylococcus capitis
S001263906	Staphylococcus capitis
S001263931	Staphylococcus haemolyticus
S001293609	Staphylococcus aureus
S001350598	Staphylococcus hominis
S001588030	Staphylococcus haemolyticus
S001793430	Staphylococcus warneri
S001793431	Staphylococcus hominis
S001794135	Staphylococcus warneri
S002165271	Staphylococcus lugdunensis
S002165276	Staphylococcus lugdunensis
S002228887	Staphylococcus epidermidis
S002228960	Staphylococcus warneri
S002230187	Staphylococcus haemolyticus
S002230544	Staphylococcus aureus
S002289813	Staphylococcus epidermidis
S002305544	Staphylococcus warneri
S002411377	Staphylococcus hominis
S000107504	Gemella haemolysans
S000414422	Gemella haemolysans
S000617892	Gemella haemolysans
S002034970	Gemella haemolysans
S002225454	Gemella haemolysans
S000087730	Roseburia intestinalis
S000087731	Roseburia intestinalis
S000088215	Roseburia inulinivorans
S000088643	Roseburia hominis
S000090757	Roseburia inulinivorans
S000406436	Roseburia faecis
S000445104	Roseburia hominis
S000445105	Roseburia faecis
S000445106	Roseburia faecis
S000629151	Roseburia intestinalis
S002033266	Roseburia intestinalis
S002225093	Roseburia intestinalis
S001885060	Catonella morbi
S001885130	Catonella morbi
S001885131	Catonella morbi
S000393168	Shuttleworthia satelles
S000020526	Dorea longicatena
S002151033	Dorea longicatena
S002235133	Dorea longicatena
S000431597	Moryella indoligenes
S000650082	Moryella indoligenes
S000650083	Moryella indoligenes
S000140702	Peptostreptococcus anaerobius
S000634343	Peptostreptococcus stomatis
S001589391	Peptostreptococcus stomatis
S001879390	Peptostreptococcus stomatis
S001044497	Eubacterium siraeum
S002033280	Eubacterium siraeum
S001548756	Eubacterium eligens
S001548760	Eubacterium eligens
S001548765	Eubacterium eligens
S002287993	Eubacterium eligens
S002290588	Eubacterium eligens
S000009627	Eubacterium ramulus
S000399530	Eubacterium rectale
S000445107	Eubacterium rectale
S000445108	Eubacterium rectale
S001548766	Eubacterium rectale
S001548775	Eubacterium rectale
S000438214	Eubacterium saphenum
S001905112	Eubacterium saphenum
S000926211	Howardella ureilytica
S000002770	Ruminococcus obeum
S000399513	Ruminococcus obeum
S000399521	Ruminococcus obeum
S000399526	Ruminococcus obeum
S000436017	Ruminococcus obeum
S000399529	Faecalibacterium prausnitzii
S000399531	Faecalibacterium prausnitzii
S000399532	Faecalibacterium prausnitzii
S000128478	Faecalibacterium prausnitzii
S000539435	Fastidiosipila sanguinis
S000141070	Parvimonas micra
S000003547	Peptoniphilus harei
S000131535	Peptoniphilus indolicus
S000398321	Peptoniphilus indolicus
S000432294	Peptoniphilus asaccharolyticus
S000432296	Peptoniphilus lacrimalis
S001016323	Peptoniphilus duerdenii
S001016325	Candidatus Peptoniphilus massiliensis
S002167081	Peptoniphilus indolicus
S002408135	Candidatus Peptoniphilus massiliensis
S000319466	Finegoldia magna
S000399515	Finegoldia magna
S000432293	Finegoldia magna
S000995080	Finegoldia magna
S002288847	Finegoldia magna
S000002016	Anaerococcus octavius
S000432295	Anaerococcus vaginalis
S000432298	Anaerococcus prevotii
S000432299	Anaerococcus lactolyticus
S000432300	Anaerococcus tetradius
S000768875	Anaerococcus murdochii
S001587928	Anaerococcus prevotii
S001587932	Anaerococcus prevotii
S001587935	Anaerococcus prevotii
S001589410	Anaerococcus tetradius
S001792991	Anaerococcus hydrogenalis
S002165144	Anaerococcus prevotii
S000366397	Clostridium colicanis
S001549681	Clostridium colicanis
S001549682	Clostridium colicanis
S001549685	Clostridium colicanis
S001549688	Clostridium colicanis
S000395076	Megasphaera micronuciformis
S000395077	Megasphaera micronuciformis
S001910592	Megasphaera micronuciformis
S000348931	Veillonella atypica
S000368430	Veillonella montpellierensis
S000395079	Veillonella montpellierensis
S000404352	Veillonella montpellierensis
S000528124	Veillonella parvula
S000528125	Veillonella atypica
S000528126	Veillonella parvula
S001743425	Veillonella parvula
S001882740	Veillonella parvula
S001891797	Veillonella atypica
S002034974	Veillonella atypica
S002035368	Veillonella parvula
S000001979	Dialister pneumosintes
S000011947	Dialister pneumosintes
S000437155	Dialister pneumosintes
S000446390	Dialister micraerophilus
S000478276	Dialister propionicifaciens
S000478277	Dialister propionicifaciens
S001093529	Dialister succinatiphilus
S002232093	Dialister pneumosintes
S001243285	Fusobacterium nucleatum
S001243312	Fusobacterium nucleatum
S001243315	Fusobacterium periodonticum
S001574344	Fusobacterium periodonticum
S001574345	Fusobacterium periodonticum
S001577266	Fusobacterium periodonticum
S001886032	Fusobacterium nucleatum
S001890409	Fusobacterium nucleatum
S002034921	Fusobacterium periodonticum
S002289602	Fusobacterium nucleatum
S000096693	Sneathia sanguinegens
S000548484	Alistipes finegoldii
S000548485	Alistipes finegoldii
S000548486	Alistipes finegoldii
S002165118	Alistipes finegoldii
S000404711	Porphyromonas endodontalis
S000441859	Porphyromonas uenonis
S000516011	Porphyromonas somerae
S000996242	Porphyromonas bennonis
S001331332	Porphyromonas asaccharolytica
S002235835	Porphyromonas asaccharolytica
S002235841	Porphyromonas endodontalis
S002235849	Porphyromonas somerae
S002235850	Porphyromonas uenonis
S002236289	Porphyromonas bennonis
S000399518	Parabacteroides merdae
S000650592	Parabacteroides merdae
S000650593	Parabacteroides merdae
S000979873	Parabacteroides merdae
S001045752	Parabacteroides merdae
S000011989	Prevotella intermedia
S000393533	Prevotella intermedia
S000393535	Prevotella intermedia
S000393536	Prevotella intermedia
S000407967	Prevotella bergensis
S000414466	Prevotella disiens
S000464966	Prevotella intermedia
S000464968	Prevotella intermedia
S000464972	Prevotella intermedia
S000546840	Prevotella melaninogenica
S000750307	Prevotella timonensis
S000979118	Prevotella amnii
S001331330	Prevotella intermedia
S001331333	Prevotella melaninogenica
S002034901	Prevotella intermedia
S002034902	Prevotella intermedia
S002034908	Prevotella melaninogenica
S002034909	Prevotella melaninogenica
S002221364	Prevotella melaninogenica
S002221367	Prevotella melaninogenica
S002235854	Prevotella bergensis
S002235855	Prevotella bivia
S002235856	Prevotella bivia
S002235858	Prevotella buccalis
S002235859	Prevotella corporis
S002235864	Prevotella disiens
S002235865	Prevotella disiens
S002235875	Prevotella melaninogenica
S002235876	Prevotella melaninogenica
S002288838	Prevotella melaninogenica
S002290137	Prevotella melaninogenica
S000701700	Bacteroides coagulans
S002235821	Bacteroides coagulans
S000701704	Bacteroides galacturonicus
S000001704	Bacteroides uniformis
S000407865	Bacteroides uniformis
S000451794	Bacteroides nordii
S000469521	Bacteroides uniformis
S000768475	Bacteroides xylanisolvens
S000979881	Bacteroides nordii
S001045755	Bacteroides uniformis
S001156221	Bacteroides nordii
S001416239	Bacteroides stercoris
S001612448	Bacteroides faecis
S001612449	Bacteroides faecis
S001872163	Bacteroides nordii
S001872167	Bacteroides stercoris
S001872170	Bacteroides uniformis
S001872172	Bacteroides xylanisolvens
S000004762	Mycoplasma hominis
S000007585	Mycoplasma hominis
S000015364	Mycoplasma genitalium
S000410519	Mycoplasma genitalium
S000641395	Mycoplasma genitalium
S000721390	Mycoplasma hominis
S002290977	Mycoplasma genitalium
S000437048	Ureaplasma urealyticum
S000437049	Ureaplasma urealyticum
S000439917	Ureaplasma urealyticum
S000439919	Ureaplasma urealyticum
S000439927	Ureaplasma parvum
S000439928	Ureaplasma parvum
S001019519	Ureaplasma parvum
S001187424	Ureaplasma urealyticum
S001291933	Ureaplasma parvum
S000004268	Atopobium minutum
S000016361	Atopobium rimae
S000390775	Atopobium rimae
S000391613	Atopobium vaginae
S001872328	Atopobium rimae
S001903884	Atopobium rimae
S001903885	Atopobium rimae
S002156825	Atopobium minutum
S002225111	Atopobium minutum
S002225112	Atopobium minutum
S000428894	Slackia exigua
S002034064	Slackia exigua
S002034065	Slackia exigua
S000380060	Bifidobacterium bifidum
S000381784	Bifidobacterium breve
S000399794	Bifidobacterium breve
S000399795	Bifidobacterium breve
S000405012	Bifidobacterium breve
S000437368	Bifidobacterium bifidum
S000806299	Bifidobacterium bifidum
S001875309	Bifidobacterium bifidum
S002232042	Bifidobacterium bifidum
S002235124	Bifidobacterium breve
S000805344	Gardnerella vaginalis
S002353138	Gardnerella vaginalis
S000017346	Alloscardovia omnicolens
S000018908	Alloscardovia omnicolens
S000775411	Alloscardovia omnicolens
S000775412	Alloscardovia omnicolens
S000775413	Alloscardovia omnicolens
S000001207	Actinomyces urogenitalis
S000010758	Actinomyces meyeri
S000013164	Actinomyces lingnae
S000014419	Actinomyces hongkongensis
S000014586	Actinomyces neuii
S000015197	Actinomyces neuii
S000127864	Actinomyces urogenitalis
S000130223	Actinomyces urogenitalis
S000608084	Actinomyces neuii
S000608085	Actinomyces neuii
S002034883	Actinomyces meyeri
S000011030	Arcanobacterium hippocoleae
S000011541	Arcanobacterium haemolyticum
S000996141	Arcanobacterium haemolyticum
S000996144	Arcanobacterium haemolyticum
S001744172	Arcanobacterium phocae
S001744175	Arcanobacterium phocae
S001744177	Arcanobacterium phocae
S002150949	Arcanobacterium haemolyticum
S002350823	Arcanobacterium phocae
S002350825	Arcanobacterium phocae
S002407959	Arcanobacterium haemolyticum
S000429655	Actinobaculum massiliense
S001329500	Actinobaculum massiliense
S001611173	Actinobaculum massiliense
S001611177	Actinobaculum massiliense
S001611181	Actinobaculum massiliense
S000112115	Varibaculum cambriense
S000433822	Varibaculum cambriense
S000608087	Varibaculum cambriense
S001188095	Varibaculum cambriense
S001188096	Varibaculum cambriense
S000141701	Mobiluncus curtisii
S000147840	Mobiluncus mulieris
S000148042	Mobiluncus mulieris
S000148549	Mobiluncus curtisii
S000148550	Mobiluncus curtisii
S000148551	Mobiluncus mulieris
S000148552	Mobiluncus curtisii
S000149189	Mobiluncus curtisii
S000127048	Brevibacterium paucivorans
S000387858	Brevibacterium otitidis
S000979831	Brevibacterium otitidis
S000979832	Brevibacterium paucivorans
S000979858	Brevibacterium otitidis
S002151530	Brevibacterium massiliense
S002419053	Brevibacterium otitidis
S000003132	Dermacoccus nishinomiyaensis
S001094392	Dermacoccus nishinomiyaensis
S001351363	Dermacoccus nishinomiyaensis
S000011559	Corynebacterium accolens
S000127212	Corynebacterium tuberculostearicum
S000127215	Corynebacterium tuberculostearicum
S000130866	Corynebacterium tuberculostearicum
S000260719	Corynebacterium tuberculostearicum
S000366402	Corynebacterium accolens
S000728102	Corynebacterium ureicelerivorans
S000965174	Corynebacterium ulceribovis
S000978896	Corynebacterium accolens
S001241244	Corynebacterium ureicelerivorans
S001328430	Corynebacterium pyruviciproducens
S001417466	Corynebacterium tuberculostearicum
S001577610	Corynebacterium accolens
S002233122	Mycobacterium novocastrense
S000010448	Serratia marcescens
S000615187	Serratia marcescens
S000965486	Serratia marcescens
S001613366	Serratia marcescens
S002233875	Serratia marcescens
S000014979	Raoultella planticola
S000385771	Raoultella planticola
S000387364	Raoultella planticola
S000387365	Raoultella planticola
S000968885	Raoultella planticola
S000004313	Escherichia coli
S000711532	Escherichia coli
S001549447	Escherichia coli
S001576677	Escherichia coli
S002230548	Escherichia coli
S000245252	Haemophilus pittmaniae
S000245507	Haemophilus pittmaniae
S000368472	Haemophilus parainfluenzae
S000408708	Haemophilus parainfluenzae
S000903366	Haemophilus parainfluenzae
S001418341	Haemophilus parainfluenzae
S002034984	Haemophilus parainfluenzae
S000368477	Mannheimia granulomatis
S000428120	Mannheimia granulomatis
S000428121	Mannheimia granulomatis
S000626352	Mannheimia granulomatis
S001152404	Mannheimia granulomatis
S000134623	Terrahaemophilus aromaticivorans
S000352591	Acinetobacter calcoaceticus
S000539896	Acinetobacter calcoaceticus
S000651751	Acinetobacter baumannii
S000859776	Acinetobacter baumannii
S000927074	Acinetobacter calcoaceticus
S000927356	Acinetobacter calcoaceticus
S001098970	Acinetobacter baumannii
S001352640	Acinetobacter baumannii
S001745108	Acinetobacter calcoaceticus
S002353144	Acinetobacter baumannii
S000125539	Psychrobacter pulmonis
S001015354	Psychrobacter pulmonis
S001015435	Psychrobacter pulmonis
S001015579	Psychrobacter pulmonis
S001264989	Psychrobacter pulmonis
S002354950	Enhydrobacter aerosaccus
S000002018	Pseudomonas fluorescens
S000004324	Pseudomonas oryzihabitans
S000006483	Pseudomonas plecoglossicida
S000010427	Pseudomonas aeruginosa
S000013341	Pseudomonas monteilii
S000262316	Pseudomonas fulva
S000428789	Pseudomonas stutzeri
S000648424	Pseudomonas monteilii
S000841838	Pseudomonas mosselii
S001350611	Pseudomonas aeruginosa
S001418424	Pseudomonas plecoglossicida
S001549889	Pseudomonas fulva
S001577515	Pseudomonas fluorescens
S001794321	Pseudomonas putida
S002234809	Pseudomonas stutzeri
S002409105	Pseudomonas mosselii
S000841591	Rhizobacter dauci
S002154032	Rhizobacter dauci
S000000286	Asticcacaulis excentricus
S000002983	Asticcacaulis excentricus
S000382373	Asticcacaulis excentricus
S001794899	Asticcacaulis excentricus
S002350186	Asticcacaulis excentricus
S000345828	Rhodopseudomonas palustris
S000981593	Rhodopseudomonas palustris
S001612519	Rhodopseudomonas palustris
S000414383	Rhodopseudomonas palustris
S001098022	Rhodopseudomonas palustris
S000421670	Agrobacterium tumefaciens
S000436036	Agrobacterium tumefaciens
S000965444	Agrobacterium tumefaciens
S001576647	Agrobacterium tumefaciens
S002035697	Agrobacterium tumefaciens
S000146281	Delftia tsuruhatensis
S000584741	Delftia tsuruhatensis
S000902711	Delftia tsuruhatensis
S002151476	Delftia tsuruhatensis
S002228913	Delftia tsuruhatensis
S000964796	Pelomonas aquatica
S000964797	Pelomonas aquatica
S000964798	Pelomonas aquatica
S000964799	Pelomonas aquatica
S000334648	Burkholderia cepacia
S000438917	Burkholderia cepacia
S001573037	Burkholderia cepacia
S001573040	Burkholderia cepacia
S001575767	Burkholderia cepacia
S001239099	Parasutterella excrementihominis
S000414720	Sutterella wadsworthensis
S000414721	Sutterella wadsworthensis
S000543947	Sutterella stercoricanis
S000775302	Sutterella morbirenis
S002035496	Sutterella wadsworthensis
S002167711	Sutterella wadsworthensis
S002151002	Methylotenera versatilis
S002287147	Methylotenera versatilis
S000002008	Neisseria subflava
S000003950	Neisseria gonorrhoeae
S000013107	Neisseria gonorrhoeae
S000388133	Neisseria gonorrhoeae
S000395208	Neisseria subflava
S000395209	Neisseria subflava
S001352164	Neisseria subflava
S002034980	Neisseria subflava
S002354984	Neisseria gonorrhoeae
S002354985	Neisseria gonorrhoeae
S000414624	Bilophila wadsworthia
S000438515	Bilophila wadsworthia
S000469520	Bilophila wadsworthia
S001550485	Campylobacter ureolyticus
S001550487	Campylobacter ureolyticus
S001550488	Campylobacter ureolyticus
S001551109	Campylobacter ureolyticus
S001551111	Campylobacter ureolyticus

