sample,region
smp_SRS052762,mouth
srp_SRS104842,mouth
srp_SRS077508,mouth
srp_SRS142910,mouth
srp_SRS018946,mouth
srp_SRS078757,mouth
smp_SRS024408,mouth
srp_SRS077353,mouth
smp_SRS063078,mouth
srp_SRS148706,mouth
srp_SRS104339,mouth
srp_SRS143200,mouth
smp_SRS023625,mouth
smp_SRS024410,mouth
smp_SRS013516,mouth
srp_SRS142621,mouth
smp_SRS021617,mouth
srp_SRS098407,mouth
srp_SRS078346,mouth
smp_SRS017784,mouth
smp_SRS055161,mouth
srp_SRS142627,mouth
srp_SRS147790,mouth
smp_SRS020833,mouth
smp_SRS044266,mouth
srp_SRS147102,mouth
srp_SRS101859,mouth
smp_SRS016773,mouth
srp_SRS077357,mouth
smp_SRS051454,mouth
srp_SRS142750,mouth
srp_SRS140765,mouth
smp_SRS018751,mouth
smp_SRS016543,mouth
smp_SRS044901,mouth
smp_SRS020253,mouth
srp_SRS104947,mouth
smp_SRS043219,mouth
smp_SRS042659,mouth
srp_SRS149705,mouth
smp_SRS049893,mouth
smp_SRS023013,mouth
srp_SRS144789,mouth
smp_SRS020241,mouth
smp_SRS021380,mouth
srp_SRS144068,mouth
smp_SRS017543,mouth
smp_SRS016724,mouth
srp_SRS143437,mouth
srp_SRS104993,mouth
smp_SRS017142,mouth
srp_SRS105050,mouth
smp_SRS023254,mouth
smp_SRS065507,mouth
smp_SRS011563,mouth
srp_SRS146861,mouth
smp_SRS014865,mouth
smp_SRS024345,mouth
srp_SRS098097,mouth
smp_SRS063449,mouth
smp_SRS015884,mouth
smp_SRS021083,mouth
srp_SRS077661,mouth
smp_SRS018258,mouth
smp_SRS022627,mouth
smp_SRS017957,mouth
smp_SRS048653,mouth
smp_SRS017537,mouth
smp_SRS015305,mouth
smp_SRS045214,mouth
smp_SRS014599,mouth
srp_SRS103024,mouth
srp_SRS098298,mouth
srp_SRS077266,mouth
srp_SRS105147,mouth
srp_SRS103867,mouth
smp_SRS015309,mouth
smp_SRS016227,mouth
srp_SRS098681,mouth
srp_SRS104621,mouth
srp_SRS149204,mouth
smp_SRS044978,mouth
smp_SRS011565,mouth
smp_SRS015720,mouth
smp_SRS016420,mouth
smp_SRS049958,mouth
smp_SRS017835,mouth
srp_SRS146954,mouth
srp_SRS103614,mouth
srp_SRS145625,mouth
srp_SRS146559,mouth
srp_SRS098774,mouth
smp_SRS021992,mouth
srp_SRS078460,mouth
smp_SRS063776,mouth
srp_SRS104287,mouth
srp_SRS149363,mouth
smp_SRS062514,mouth
smp_SRS049738,mouth
smp_SRS022041,mouth
srp_SRS024287,mouth
smp_SRS015241,mouth
smp_SRS017002,mouth
srp_SRS148391,mouth
srp_SRS056058,mouth
srp_SRS141445,mouth
smp_SRS049196,mouth
srp_SRS078342,mouth
srp_SRS149413,mouth
smp_SRS057589,mouth
smp_SRS015031,mouth
smp_SRS023563,mouth
smp_SRS019361,mouth
srp_SRS077766,mouth
srp_SRS104748,mouth
srp_SRS078288,mouth
smp_SRS022167,mouth
smp_SRS018084,mouth
srp_SRS143846,mouth
smp_SRS023514,mouth
smp_SRS022380,mouth
srp_SRS142473,mouth
srp_SRS141151,mouth
srp_SRS105096,mouth
smp_SRS052157,mouth
smp_SRS054796,mouth
srp_SRS103819,mouth
smp_SRS054821,mouth
srp_SRS149264,mouth
smp_SRS064934,mouth
smp_SRS016358,mouth
smp_SRS024046,mouth
smp_SRS022806,mouth
smp_SRS017649,mouth
srp_SRS098005,mouth
smp_SRS017890,mouth
smp_SRS014821,mouth
srp_SRS077659,mouth
smp_SRS013831,mouth
srp_SRS146257,mouth
srp_SRS148329,mouth
smp_SRS015629,mouth
smp_SRS023760,mouth
srp_SRS102210,mouth
smp_SRS058791,mouth
smp_SRS046376,mouth
srp_SRS101631,mouth
smp_SRS019789,mouth
smp_SRS058474,mouth
smp_SRS065568,mouth
smp_SRS020376,mouth
srp_SRS018848,mouth
smp_SRS017011,mouth
smp_SRS062800,mouth
smp_SRS048393,mouth
smp_SRS013723,mouth
smp_SRS045519,mouth
srp_SRS097927,mouth
srp_SRS144382,mouth
srp_SRS104386,mouth
srp_SRS143154,mouth
srp_SRS019526,mouth
srp_SRS146371,mouth
srp_SRS147804,mouth
smp_SRS017230,mouth
smp_SRS064182,mouth
smp_SRS024343,mouth
smp_SRS021750,mouth
srp_SRS074807,mouth
smp_SRS023805,mouth
srp_SRS078280,mouth
srp_SRS078912,mouth
smp_SRS014661,mouth
smp_SRS044395,mouth
srp_SRS075554,mouth
srp_SRS144672,mouth
smp_SRS015980,mouth
srp_SRS145030,mouth
smp_SRS022677,mouth
smp_SRS063859,mouth
srp_SRS104939,mouth
smp_SRS018145,mouth
srp_SRS101290,mouth
srp_SRS098342,mouth
srp_SRS142744,mouth
smp_SRS020429,mouth
srp_SRS077349,mouth
smp_SRS063549,mouth
smp_SRS056219,mouth
smp_SRS019574,mouth
smp_SRS024527,mouth
srp_SRS148282,mouth
srp_SRS103028,mouth
srp_SRS016539,mouth
smp_SRS018337,mouth
srp_SRS144662,mouth
srp_SRS147008,mouth
srp_SRS018392,mouth
srp_SRS018908,mouth
smp_SRS011665,mouth
srp_SRS104744,mouth
smp_SRS063766,mouth
smp_SRS023506,mouth
